numpy.expm1,,numpy,True
numpy.fabs,,numpy,True
numpy.floor,,numpy,True
numpy.floor_divide,,numpy,True
numpy.float_power,,numpy,True
numpy.fmax,,numpy,True
numpy.fmin,,numpy,True
numpy.fmod,,numpy,True
numpy.frexp,,numpy,True
numpy.frompyfunc,numpy,numpy,True
numpy.gcd,,numpy,True
numpy.geterrobj,numpy,numpy,True
numpy.greater,,numpy,True
numpy.greater_equal,,numpy,True
numpy.heaviside,,numpy,True
numpy.hypot,,numpy,True
numpy.invert,,numpy,True
numpy.isfinite,,numpy,True
numpy.isinf,,numpy,True
numpy.isnan,,numpy,True
numpy.isnat,,numpy,True
numpy.lcm,,numpy,True
numpy.ldexp,,numpy,True
numpy.left_shift,,numpy,True
numpy.less,,numpy,True
numpy.less_equal,,numpy,True
numpy.log,,numpy,True
numpy.log10,,numpy,True
numpy.log1p,,numpy,True
numpy.log2,,numpy,True
numpy.logaddexp,,numpy,True
numpy.logaddexp2,,numpy,True
numpy.logical_and,,numpy,True
numpy.logical_not,,numpy,True
numpy.logical_or,,numpy,True
numpy.logical_xor,,numpy,True
numpy.maximum,,numpy,True
numpy.minimum,,numpy,True
numpy.mod,,numpy,True
numpy.modf,,numpy,True
numpy.multiply,,numpy,True
numpy.negative,,numpy,True
numpy.nextafter,,numpy,True
numpy.not_equal,,numpy,True
numpy.positive,,numpy,True
numpy.power,,numpy,True
numpy.rad2deg,,numpy,True
numpy.radians,,numpy,True
numpy.reciprocal,,numpy,True
numpy.remainder,,numpy,True
numpy.right_shift,,numpy,True
numpy.rint,,numpy,True
numpy.seterrobj,numpy,numpy,True
numpy.sign,,numpy,True
numpy.signbit,,numpy,True
numpy.sin,,numpy,True
numpy.sinh,,numpy,True
numpy.spacing,,numpy,True
numpy.sqrt,,numpy,True
numpy.square,,numpy,True
numpy.subtract,,numpy,True
numpy.tan,,numpy,True
numpy.tanh,,numpy,True
numpy.true_divide,,numpy,True
numpy.trunc,,numpy,True
numpy.obj2sctype,numpy,numpy,True
numpy.sctype2char,numpy,numpy,True
numpy.maximum_sctype,numpy,numpy,True
numpy.issctype,numpy,numpy,True
numpy.find_common_type,numpy,numpy,True
numpy.issubdtype,numpy,numpy,True
numpy.datetime_data,numpy,numpy,True
numpy.datetime_as_string,numpy,numpy,True
numpy.busday_offset,numpy,numpy,True
numpy.busday_count,numpy,numpy,True
numpy.is_busday,numpy,numpy,True
numpy.busdaycalendar,numpy,numpy,True
numpy.byte,numpy,numpy,True
numpy.ubyte,numpy,numpy,True
numpy.short,numpy,numpy,True
numpy.ushort,numpy,numpy,True
numpy.uint,numpy,numpy,True
numpy.intp,numpy,numpy,True
numpy.uintp,numpy,numpy,True
numpy.longlong,numpy,numpy,True
numpy.ulonglong,numpy,numpy,True
numpy.half,numpy,numpy,True
numpy.double,numpy,numpy,True
numpy.longdouble,numpy,numpy,True
numpy.cfloat,numpy,numpy,True
numpy.cdouble,numpy,numpy,True
numpy.clongdouble,numpy,numpy,True
numpy.void,numpy,numpy,True
numpy.generic,numpy,numpy,True
numpy.number,numpy,numpy,True
numpy.integer,numpy,numpy,True
numpy.inexact,numpy,numpy,True
numpy.signedinteger,numpy,numpy,True
numpy.unsignedinteger,numpy,numpy,True
numpy.floating,numpy,numpy,True
numpy.complexfloating,numpy,numpy,True
numpy.flexible,numpy,numpy,True
numpy.character,numpy,numpy,True
numpy.int64,numpy,numpy,True
numpy.uint64,numpy,numpy,True
numpy.float16,numpy,numpy,True
numpy.float32,numpy,numpy,True
numpy.float64,numpy,numpy,True
numpy.float128,numpy,numpy,True
numpy.complex64,numpy,numpy,True
numpy.complex128,numpy,numpy,True
numpy.complex256,numpy,numpy,True
numpy.datetime64,numpy,numpy,True
numpy.timedelta64,numpy,numpy,True
numpy.int32,numpy,numpy,True
numpy.uint32,numpy,numpy,True
numpy.int16,numpy,numpy,True
numpy.uint16,numpy,numpy,True
numpy.int8,numpy,numpy,True
numpy.uint8,numpy,numpy,True
numpy.complex_,numpy,numpy,True
numpy.single,numpy,numpy,True
numpy.csingle,numpy,numpy,True
numpy.singlecomplex,numpy,numpy,True
numpy.float_,numpy,numpy,True
numpy.intc,numpy,numpy,True
numpy.uintc,numpy,numpy,True
numpy.int_,numpy,numpy,True
numpy.longfloat,numpy,numpy,True
numpy.clongfloat,numpy,numpy,True
numpy.longcomplex,numpy,numpy,True
numpy.bool_,numpy,numpy,True
numpy.bytes_,numpy,numpy,True
numpy.string_,numpy,numpy,True
numpy.str_,numpy,numpy,True
numpy.unicode_,numpy,numpy,True
numpy.object_,numpy,numpy,True
numpy.array2string,numpy,numpy,True
numpy.array_str,numpy,numpy,True
numpy.array_repr,numpy,numpy,True
numpy.set_string_function,numpy.core.arrayprint,numpy,False
numpy.set_printoptions,numpy,numpy,True
numpy.get_printoptions,numpy,numpy,True
numpy.printoptions,numpy,numpy,True
numpy.format_float_positional,numpy,numpy,True
numpy.format_float_scientific,numpy,numpy,True
numpy.require,numpy,numpy,True
numpy.seterr,numpy,numpy,True
numpy.geterr,numpy,numpy,True
numpy.setbufsize,numpy,numpy,True
numpy.getbufsize,numpy,numpy,True
numpy.seterrcall,numpy,numpy,True
numpy.geterrcall,numpy,numpy,True
numpy.errstate,numpy,numpy,True
numpy._no_nep50_warning,numpy,numpy,True
numpy.record,numpy,numpy,True
numpy.recarray,numpy,numpy,True
numpy.format_parser,numpy,numpy,True
numpy.chararray,numpy,numpy,True
numpy.logspace,numpy,numpy,True
numpy.linspace,numpy,numpy,True
numpy.geomspace,numpy,numpy,True
numpy.finfo,numpy,numpy,True
numpy.iinfo,numpy,numpy,True
numpy.atleast_1d,numpy,numpy,True
numpy.atleast_2d,numpy,numpy,True
numpy.atleast_3d,numpy,numpy,True
numpy.block,numpy,numpy,True
numpy.hstack,numpy,numpy,True
numpy.stack,numpy,numpy,True
numpy.vstack,numpy,numpy,True
numpy.einsum,numpy,numpy,True
numpy.einsum_path,numpy,numpy,True
numpy.iscomplexobj,numpy,numpy,True
numpy.isrealobj,numpy,numpy,True
numpy.imag,numpy,numpy,True
numpy.iscomplex,numpy,numpy,True
numpy.isreal,numpy,numpy,True
numpy.nan_to_num,numpy,numpy,True
numpy.real,numpy,numpy,True
numpy.real_if_close,numpy,numpy,True
numpy.typename,numpy,numpy,True
numpy.asfarray,numpy,numpy,True
numpy.mintypecode,numpy,numpy,True
numpy.common_type,numpy,numpy,True
numpy.ravel_multi_index,numpy,numpy,True
numpy.unravel_index,numpy,numpy,True
numpy.ix_,numpy,numpy,True
numpy.ndenumerate,numpy,numpy,True
numpy.ndindex,numpy,numpy,True
numpy.fill_diagonal,numpy,numpy,True
numpy.diag_indices,numpy,numpy,True
numpy.diag_indices_from,numpy,numpy,True
numpy.select,numpy,numpy,True
numpy.piecewise,numpy,numpy,True
numpy.trim_zeros,numpy,numpy,True
numpy.copy,numpy,numpy,True
numpy.iterable,numpy,numpy,True
numpy.percentile,numpy,numpy,True
numpy.diff,numpy,numpy,True
numpy.gradient,numpy,numpy,True
numpy.angle,numpy,numpy,True
numpy.unwrap,numpy,numpy,True
numpy.sort_complex,numpy,numpy,True
